QUARTERBACK PPR PROJECTIONS,,,,,,RUNNING BACK PPR PROJECTIONS,,,,,,WIDE RECEIVER PPR PROJECTIONS (SEASON LONG),,,,,,TIGHT END PPR PROJECTIONS (SEASON LONG),,,,,
Rank,Quarterback,Projection,FPPG,TOT YPG,TD/G,Rank,Running Back,Projection,FPPG,TOT YPG,TD/G,Rank,Wide Receiver,Projection,FPPG,TOT YPG,TD/G,Rank,Tight End,Projection,FPPG,YPG,TOT YPG
,,,,,,,,,,,,129,KEANDRE LAMBERT-SMITH,17,1.0,4.5,0.0,,,,,,
,,,,,,,,,,,,130,TEZ JOHNSON,15,0.9,6.6,0.0,,,,,,
,,,,,,,,,,,,131,BRYCE LANCE,14,0.8,6.2,0.0,,,,,,
,,,,,,,,,,,,132,BARION BROWN,14,0.8,0.0,0.0,,,,,,
,,,,,,,,,,,,133,CJ WILLIAMS,8,0.5,2.2,0.0,,,,,,
,,,,,,,,,,,,134,OLAMIDE ZACCHEAUS,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,135,CEDRIC WILSON JR,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,136,SKYY MOORE,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,137,DEION BURKS,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,138,JALEN ROYALS,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,139,NICK REMIGIO,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,140,TAI FELTON,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,141,DILLON BELL,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,142,TIM PATRICK,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,143,DAREKE YOUNG,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,144,DARIUS COOPER,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,145,BEN SKOWRONEK,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,146,JAKE BOBO,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,147,TORY HORTON,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,148,KAMERON JOHNSON,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,149,LUKE MCCAFFREY,0,0.0,0.0,0.0,,,,,,
